house_bill|regionName|time_label
038357836939|CHARLIE|DAY
044000369033|ALFA|DAY
044043771046|ECHO|DAY
044045378362|ECHO|DAY
044063970653|ALFA|DAY
044117740210|ALFA|DAY
044242763439|ALFA|DAY
054190297522|ALFA|DAY
072496731980|CHARLIE|DAY
080028420075|ALFA|DAY
237452846104|ALFA|DAY
240763617028|CHARLIE|DAY
368743234318|CHARLIE|DAY
446552720646|ALFA|DAY
671037315287|ALFA|DAY
802333940669|ALFA|DAY
810385488782|ALFA|DAY
843005321435|ALFA|DAY
843005321444|ALFA|DAY
843005321453|ALFA|DAY
843005321462|ALFA|DAY
953408203100|ALFA|DAY
SF1005046668937|CHARLIE|DAY
SF1008469923172|CHARLIE|DAY
SF1008616752654|CHARLIE|DAY
SF1008645873810|CHARLIE|DAY
SF1008732828967|CHARLIE|DAY
SF1008765600321|CHARLIE|DAY
SF1008797516924|CHARLIE|DAY
SF1008799648274|CHARLIE|DAY
SF1008803402695|CHARLIE|DAY
SF1008866352040|CHARLIE|DAY
SF1008875201184|CHARLIE|DAY
SF1008885303470|CHARLIE|DAY
SF1009700372747|CHARLIE|DAY
SF1073979766259|CHARLIE|DAY
SF1075392043443|CHARLIE|DAY
SF1075392043461|CHARLIE|DAY
SF1083931705767|CHARLIE|DAY
SF1088509481228|CHARLIE|DAY
SF1088988716969|CHARLIE|DAY
SF1088988726855|CHARLIE|DAY
048718900219|ALFA|DAY
644007538498|ECHO|DAY
644013764021|ECHO|DAY
SF1009649730564|ECHO|DAY
SF1074817354935|ECHO|DAY
448083649181|ECHO|DAY
006718819489|ECHO|DAY
006718819498|ECHO|DAY
007748411578|ECHO|DAY
027869913216|ECHO|DAY
036086030038|ALFA|DAY
037173024753|ALFA|DAY
037545658091|ALFA|DAY
037691602578|ECHO|DAY
037709127290|ALFA|DAY
038215460123|ECHO|DAY
038215460132|ECHO|DAY
038215460487|ECHO|DAY
038447791638|ECHO|DAY
038517494665|ALFA|DAY
038529290853|ECHO|DAY
038703541651|ECHO|DAY
038723332811|ECHO|DAY
038723512271|ECHO|DAY
040219196483|ALFA|DAY
040819331637|CHARLIE|DAY
043250600953|ALFA|DAY
043250600962|ALFA|DAY
044000246132|ECHO|DAY
044017019273|ECHO|DAY
044044410415|ECHO|DAY
044045643345|ALFA|DAY
044073908639|ECHO|DAY
044111185092|ECHO|DAY
044125152487|ALFA|DAY
044125978568|ALFA|DAY
044156587021|ECHO|DAY
044159351322|ECHO|DAY
044159638867|ECHO|DAY
044168007642|ECHO|DAY
044188168166|ECHO|DAY
044188547795|ECHO|DAY
044188926344|ECHO|DAY
044208730567|ECHO|DAY
044213979873|ALFA|DAY
044215934355|ECHO|DAY
044222353958|ALFA|DAY
044226890142|ECHO|DAY
044227741117|ALFA|DAY
044241038550|ECHO|DAY
044242667834|ECHO|DAY
044248434743|ECHO|DAY
